store_id,sales_amount,date
50,415.75,2023-02-27
99,1027.05,2023-03-23
39,1215.67,2023-01-23
50,3184.92,2023-07-16
57,981.46,2023-01-17
7,2978.0,2023-03-23
64,3293.73,2023-08-10
78,1602.86,2023-02-10
13,2325.59,2023-07-16
99,4461.13,2023-12-04
67,4324.85,2023-03-24
41,1433.72,2023-01-02
76,760.69,2023-10-01
27,3173.73,2023-05-07
27,3856.91,2023-05-18
29,1368.77,2023-05-11
87,2295.75,2023-08-17
93,4256.8,2023-12-04
22,454.3,2023-01-13
6,2667.18,2023-02-03
11,3636.01,2023-01-25
49,3247.55,2023-06-04
9,1175.4,2023-12-11
71,1232.46,2023-10-08
55,848.45,2023-09-07
88,700.7,2023-08-23
3,3314.52,2023-03-06
28,3077.11,2023-10-15
7,4834.71,2023-07-11
54,1416.13,2023-07-01
10,1928.86,2023-12-10
44,2805.23,2023-03-29
68,2433.14,2023-11-16
67,4690.15,2023-06-12
100,372.73,2023-03-01
77,3418.18,2023-08-18
98,3652.13,2023-08-31
62,2327.43,2023-02-14
81,3764.72,2023-11-18
56,544.83,2023-10-22
58,3906.74,2023-11-14
66,2875.73,2023-10-07
97,357.25,2023-08-18
16,2998.11,2023-02-14
74,988.91,2023-08-30
28,2099.77,2023-05-23
87,3179.84,2023-01-23
39,4857.59,2023-01-13
37,3782.48,2023-08-27
72,612.91,2023-03-30
4,2184.01,2023-07-25
70,2247.8,2023-05-12
36,1950.1,2023-11-11
17,2806.95,2023-07-14
74,783.79,2023-08-22
66,2293.81,2023-07-01
79,4145.37,2023-11-05
12,4615.88,2023-10-23
52,3307.99,2023-12-26
27,1537.86,2023-04-08
51,2388.03,2023-05-20
41,2154.65,2023-10-22
34,4162.82,2023-11-05
49,1415.72,2023-12-19
15,3485.92,2023-04-18
39,2274.0,2023-08-28
44,1205.57,2023-11-18
16,369.13,2023-11-05
92,2844.45,2023-01-23
96,3022.57,2023-04-06
38,1154.2,2023-04-27
21,2448.73,2023-07-17
36,710.9,2023-09-12
55,322.93,2023-09-23
50,3507.12,2023-03-07
27,1727.82,2023-01-03
80,3629.92,2023-03-20
86,2531.75,2023-09-30
11,3902.17,2023-10-30
